"city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","rent.amount","fire.insurance"
"yes",145,3,2,1,4,"acept","not furnished",3445,13
"yes",58,1,1,0,2,"not acept","not furnished",1398,8
"yes",380,3,5,1,10,"not acept","not furnished",15000,191
"yes",100,2,2,2,10,"acept","not furnished",2600,33
"no",62,1,1,1,1,"not acept","not furnished",755,3
"no",55,2,1,1,0,"acept","not furnished",750,10
"yes",98,2,2,1,0,"not acept","not furnished",2990,38
"yes",159,3,3,1,6,"acept","not furnished",3000,39
"yes",210,3,5,4,6,"acept","furnished",11900,151
"no",60,2,1,1,3,"acept","not furnished",880,12
"yes",472,3,2,4,0,"acept","not furnished",6500,98
"yes",128,3,2,2,1,"acept","not furnished",3000,39
"yes",83,2,1,1,1,"acept","not furnished",1147,15
"yes",50,1,1,1,6,"not acept","furnished",2500,32
"yes",112,3,2,3,0,"acept","not furnished",3300,50
"no",52,3,1,1,1,"acept","furnished",1200,16
"yes",40,1,1,1,9,"acept","furnished",4800,61
"yes",500,4,6,3,0,"acept","not furnished",15000,226
"yes",55,2,1,1,13,"acept","not furnished",1800,23
"yes",365,3,5,2,5,"acept","furnished",8500,108
"yes",40,1,2,1,28,"not acept","furnished",4200,54
"yes",25,1,1,1,25,"acept","not furnished",2100,27
"no",85,3,2,2,9,"acept","furnished",3000,39
"no",170,4,3,1,10,"not acept","not furnished",3700,47
"yes",300,3,5,4,12,"not acept","not furnished",6000,77
"yes",53,2,1,1,7,"not acept","not furnished",1200,16
"yes",387,4,5,6,0,"acept","not furnished",13000,196
"yes",85,3,2,1,4,"acept","not furnished",3100,40
"no",45,2,1,1,3,"acept","not furnished",850,11
"yes",44,1,1,0,1,"not acept","not furnished",1200,16
"yes",92,2,2,1,6,"not acept","not furnished",2490,32
"yes",45,1,1,1,0,"acept","not furnished",1300,20
"yes",60,2,1,0,10,"acept","not furnished",1654,19
"yes",150,3,5,2,14,"acept","not furnished",3102,40
"yes",35,1,1,0,1,"not acept","not furnished",1305,17
"yes",70,2,2,1,6,"acept","not furnished",3500,45
"yes",350,3,5,4,13,"acept","not furnished",3760,48
"yes",20,1,1,0,5,"acept","furnished",1800,23
"yes",316,4,6,4,18,"acept","furnished",8000,102
"yes",38,1,1,0,16,"not acept","not furnished",2001,26
"yes",62,3,2,1,5,"acept","not furnished",1583,6
"no",258,2,2,1,0,"acept","not furnished",1400,22
"no",402,4,5,2,0,"not acept","not furnished",4800,73
"yes",200,3,1,2,0,"acept","not furnished",3000,46
"yes",60,1,1,1,6,"acept","not furnished",2240,29
"no",54,2,1,1,10,"acept","not furnished",1500,20
"yes",53,2,1,1,8,"acept","furnished",1200,16
"yes",50,1,1,0,1,"acept","not furnished",950,15
"no",65,2,1,1,3,"acept","not furnished",1250,16
"no",81,3,2,2,3,"acept","not furnished",2230,29
"yes",68,2,2,1,18,"acept","not furnished",3400,44
"yes",158,3,3,2,10,"not acept","not furnished",5500,70
"yes",114,2,2,1,4,"acept","not furnished",2000,26
"yes",80,3,2,2,5,"acept","not furnished",2400,31
"no",111,3,3,3,6,"not acept","furnished",5000,64
"yes",160,3,4,2,3,"acept","not furnished",8500,108
"yes",630,4,6,4,0,"not acept","not furnished",12300,185
"yes",68,1,1,0,0,"not acept","not furnished",1140,18
"no",60,2,1,1,1,"acept","not furnished",1000,13
"yes",110,3,2,1,10,"acept","not furnished",2800,36
"yes",255,4,4,3,2,"acept","not furnished",6600,84
"yes",252,4,6,3,19,"acept","not furnished",12000,153
"yes",86,2,1,1,12,"acept","not furnished",3007,39
"yes",48,2,1,0,2,"acept","not furnished",1191,16
"no",300,4,5,3,9,"acept","not furnished",9500,121
"yes",130,3,2,1,13,"acept","not furnished",2900,37
"yes",36,1,1,0,1,"acept","not furnished",1800,23
"no",220,3,1,4,0,"not acept","not furnished",2800,43
"yes",96,2,2,2,5,"acept","not furnished",1600,21
"yes",280,3,3,5,0,"acept","not furnished",3500,53
"yes",70,1,1,1,0,"acept","not furnished",1170,18
"yes",102,2,2,1,1,"acept","not furnished",1700,22
"yes",70,2,1,0,6,"acept","not furnished",1800,23
"yes",35,1,1,0,18,"acept","not furnished",1850,24
"yes",60,2,2,1,5,"acept","not furnished",1465,19
"yes",500,2,2,1,0,"acept","not furnished",2260,34
"yes",238,4,5,3,1,"not acept","not furnished",15000,58
"yes",127,3,2,2,1,"acept","not furnished",5000,76
"yes",298,4,4,3,6,"acept","not furnished",9000,115
"yes",75,3,1,1,9,"acept","not furnished",2951,12
"no",105,2,2,2,11,"acept","not furnished",3800,49
"yes",279,5,5,6,3,"acept","furnished",4740,61
"yes",100,1,2,1,13,"not acept","not furnished",6000,77
"yes",100,3,2,1,12,"acept","not furnished",1946,7
"yes",120,4,2,2,0,"not acept","not furnished",4500,68
"yes",98,3,2,1,7,"acept","furnished",3318,27
"no",550,5,6,8,0,"acept","not furnished",10600,160
"yes",100,3,2,6,0,"acept","not furnished",7500,113
"no",55,1,1,0,5,"not acept","not furnished",950,13
"yes",58,2,2,1,1,"acept","not furnished",2588,10
"yes",180,3,3,1,6,"not acept","not furnished",7500,96
"yes",22,1,1,0,25,"acept","not furnished",2100,27
"no",82,3,2,1,1,"acept","not furnished",1200,16
"no",194,3,2,3,0,"acept","not furnished",3500,53
"yes",70,3,2,1,1,"acept","not furnished",2300,30
"yes",67,2,2,2,4,"acept","furnished",4675,60
"yes",100,3,2,2,6,"not acept","not furnished",2000,26
"yes",60,2,2,1,8,"acept","not furnished",1650,21
"yes",62,2,2,1,5,"acept","not furnished",2500,32
"yes",44,1,1,0,4,"acept","furnished",2500,32
"yes",66,2,2,1,15,"not acept","not furnished",2748,35
"yes",86,2,1,1,1,"acept","not furnished",2372,10
"yes",300,3,4,0,0,"acept","furnished",10000,151
"no",60,2,1,1,7,"acept","not furnished",900,12
"no",65,2,1,1,7,"acept","not furnished",1100,14
"yes",46,1,1,1,5,"acept","furnished",1600,21
"yes",70,2,2,1,13,"acept","not furnished",4400,56
"yes",110,2,2,0,13,"acept","not furnished",2690,35
"yes",20,1,1,0,3,"not acept","furnished",600,8
"yes",200,3,3,3,3,"acept","not furnished",4790,61
"yes",150,3,3,2,10,"acept","not furnished",4000,51
"yes",120,3,1,0,0,"acept","not furnished",2200,34
"yes",176,3,4,3,20,"not acept","not furnished",9500,121
"no",40,1,1,1,2,"not acept","not furnished",1000,13
"yes",350,3,6,4,28,"acept","furnished",12000,153
"yes",65,2,2,1,3,"acept","not furnished",1613,6
"yes",35,1,1,1,4,"acept","furnished",1850,24
"no",88,1,1,2,0,"acept","not furnished",2200,28
"yes",106,2,2,2,1,"not acept","furnished",10600,135
"yes",220,4,4,1,19,"acept","not furnished",4000,51
"yes",40,1,1,0,2,"acept","not furnished",1020,13
"no",70,3,1,1,1,"acept","not furnished",1500,20
"yes",227,4,4,3,7,"not acept","furnished",15000,191
"yes",208,3,3,2,2,"acept","furnished",7000,89
"yes",238,4,3,1,7,"acept","not furnished",5000,64
"yes",161,3,3,3,17,"acept","not furnished",10000,127
"yes",85,3,2,2,3,"acept","not furnished",2350,30
"yes",192,2,3,1,1,"acept","furnished",12000,153
"no",71,2,1,1,3,"acept","not furnished",1130,15
"yes",55,1,1,0,13,"acept","not furnished",1300,17
"no",219,4,5,2,4,"acept","furnished",3800,49
"yes",200,2,2,1,0,"acept","not furnished",2300,35
"yes",50,1,1,0,0,"not acept","not furnished",1266,4
"yes",90,2,1,0,0,"acept","not furnished",2800,43
"yes",45,1,1,1,1,"not acept","furnished",5520,70
"yes",120,2,2,1,3,"not acept","furnished",3300,42
"yes",170,3,2,1,5,"acept","not furnished",4500,58
"yes",400,4,3,4,0,"acept","not furnished",3760,57
"yes",42,1,1,1,3,"acept","not furnished",2700,35
"yes",31,1,1,1,3,"not acept","furnished",1990,26
"yes",350,3,5,3,0,"acept","not furnished",4500,68
"yes",62,1,1,0,4,"acept","furnished",2300,30
"yes",83,2,3,2,8,"acept","not furnished",3200,41
"yes",35,1,1,0,1,"not acept","not furnished",1305,17
"yes",147,3,2,2,4,"acept","not furnished",3600,46
"yes",208,4,4,3,5,"acept","not furnished",12000,153
"yes",30,1,1,0,0,"acept","not furnished",750,12
"yes",97,2,2,2,3,"acept","not furnished",2200,28
"yes",30,1,1,0,0,"not acept","not furnished",920,14
"yes",104,3,2,2,8,"acept","not furnished",3300,42
"yes",230,4,3,3,0,"acept","not furnished",8200,124
"yes",20,1,1,0,4,"not acept","furnished",3142,40
"yes",298,4,4,1,0,"acept","not furnished",3000,46
"yes",127,2,1,2,0,"acept","not furnished",2250,34
"no",60,3,2,1,3,"acept","not furnished",800,11
"yes",54,2,2,1,11,"acept","not furnished",2800,36
"no",262,3,4,4,0,"acept","not furnished",9500,143
"yes",19,1,1,0,0,"not acept","not furnished",1200,16
"yes",55,2,1,1,1,"acept","furnished",2200,28
"yes",120,2,1,1,0,"not acept","not furnished",1300,20
"yes",88,3,4,2,5,"acept","not furnished",3900,50
"yes",136,3,2,2,9,"not acept","not furnished",6818,87
"yes",130,3,1,1,0,"acept","not furnished",2000,31
"no",48,1,1,1,1,"not acept","not furnished",550,7
"yes",53,3,2,1,13,"not acept","not furnished",2000,26
"yes",320,4,5,5,0,"acept","not furnished",10870,164
"no",52,1,1,1,8,"not acept","furnished",2300,30
"yes",20,1,1,0,0,"acept","furnished",1800,23
"yes",75,2,1,3,5,"not acept","not furnished",2500,32
"yes",90,3,1,0,0,"not acept","not furnished",2200,34
"yes",95,2,2,1,0,"acept","not furnished",2400,37
"yes",70,1,1,1,0,"not acept","not furnished",1100,17
"yes",25,1,1,0,9,"acept","furnished",1820,24
"yes",230,3,4,2,3,"acept","not furnished",4800,61
"yes",89,3,2,2,15,"not acept","not furnished",5418,20
"yes",129,2,2,1,6,"acept","furnished",13000,165
"yes",42,1,1,1,0,"acept","furnished",3600,46
"yes",255,4,4,3,13,"acept","furnished",11900,151
"yes",192,3,4,2,13,"acept","not furnished",8500,108
"yes",99,2,1,1,6,"not acept","not furnished",4300,55
"yes",50,2,1,1,1,"acept","not furnished",1050,8
"no",48,1,2,0,2,"acept","furnished",1234,16
"yes",99,2,1,1,0,"acept","not furnished",3650,55
"yes",33,1,1,1,7,"not acept","not furnished",1219,8
"yes",93,3,2,2,25,"not acept","furnished",3500,45
"yes",49,1,1,1,10,"acept","not furnished",3500,45
"yes",50,1,1,0,9,"not acept","furnished",2480,32
"yes",100,3,3,1,0,"acept","not furnished",2400,37
"yes",110,2,1,1,10,"not acept","not furnished",1800,23
"yes",800,4,7,8,0,"acept","not furnished",12000,181
"yes",210,4,5,2,1,"acept","furnished",8500,108
"yes",80,3,1,0,0,"not acept","not furnished",2100,27
"yes",196,2,3,3,8,"acept","not furnished",5500,70
"yes",160,1,4,2,2,"not acept","not furnished",3500,45
"yes",250,5,3,6,0,"acept","not furnished",15000,226
"yes",160,4,4,3,2,"acept","not furnished",11000,140
"yes",189,4,3,2,5,"not acept","furnished",6500,83
"yes",93,2,1,1,11,"acept","not furnished",3200,41
"yes",500,4,6,6,0,"acept","not furnished",5930,90
"no",57,2,1,1,3,"not acept","not furnished",850,11
"no",76,3,1,1,8,"not acept","not furnished",1100,14
"yes",240,4,5,5,9,"acept","furnished",9900,126
"yes",240,3,4,3,1,"acept","furnished",11000,140
"yes",400,3,5,4,11,"acept","not furnished",3800,49
"yes",68,3,1,1,1,"acept","not furnished",1460,19
"yes",80,2,2,1,7,"acept","not furnished",3800,49
"yes",205,4,4,2,14,"acept","not furnished",10800,137
"yes",250,3,3,1,9,"acept","not furnished",6500,83
"yes",120,2,3,2,10,"acept","furnished",9000,115
"yes",68,2,1,1,9,"acept","not furnished",1850,24
"yes",65,2,1,1,3,"acept","not furnished",1400,18
"yes",720,4,5,5,17,"acept","not furnished",6500,83
"yes",40,1,1,0,1,"not acept","not furnished",1047,14
"yes",75,2,1,0,5,"acept","furnished",1283,17
"yes",150,2,2,2,0,"acept","not furnished",2640,40
"yes",34,1,1,0,11,"not acept","not furnished",2800,36
"no",135,3,2,2,0,"acept","not furnished",1700,26
"yes",36,1,1,0,3,"not acept","not furnished",1900,25
"yes",60,2,1,1,1,"acept","not furnished",2058,9
"yes",280,3,3,8,0,"acept","not furnished",13000,196
"yes",156,3,3,3,20,"acept","not furnished",4900,63
"yes",60,1,1,1,7,"acept","not furnished",3070,39
"no",60,2,1,1,1,"not acept","furnished",2848,37
"yes",150,4,2,1,0,"acept","not furnished",3900,59
"yes",120,3,2,2,1,"acept","not furnished",4636,59
"yes",64,3,1,1,2,"acept","not furnished",1200,16
"yes",238,4,4,3,1,"acept","furnished",15000,191
"yes",127,3,2,1,12,"not acept","not furnished",3900,50
"yes",87,2,2,2,15,"acept","not furnished",3700,47
"yes",300,4,4,0,7,"acept","furnished",9600,122
"yes",60,2,1,0,1,"acept","not furnished",1500,20
"yes",270,6,3,6,0,"acept","not furnished",4500,68
"yes",142,3,3,2,15,"acept","not furnished",9000,115
"yes",35,1,1,0,3,"acept","not furnished",1649,21
"yes",55,2,1,0,0,"acept","not furnished",1600,25
"yes",129,4,4,2,14,"acept","furnished",8900,113
"yes",30,1,1,1,14,"not acept","not furnished",1660,22
"yes",89,2,2,1,5,"acept","not furnished",2300,30
"yes",98,3,2,2,6,"acept","furnished",2500,32
"yes",277,4,4,6,5,"acept","not furnished",3800,49
"yes",80,2,2,2,15,"acept","not furnished",11000,140
"yes",113,2,1,1,5,"acept","not furnished",3000,39
"yes",25,1,1,0,1,"not acept","not furnished",1200,16
"yes",212,3,4,4,4,"acept","not furnished",10000,127
"no",53,2,1,1,3,"acept","not furnished",850,11
"yes",235,3,4,3,2,"acept","not furnished",2550,33
"yes",100,1,2,2,8,"acept","not furnished",2000,18
"no",140,4,3,2,14,"acept","not furnished",3500,45
"yes",51,1,2,1,3,"not acept","furnished",2100,27
"no",80,2,1,1,0,"not acept","not furnished",1100,17
"yes",244,3,4,2,7,"acept","furnished",12000,153
"yes",220,4,4,3,12,"acept","not furnished",5100,65
"yes",97,3,2,2,14,"acept","not furnished",1700,22
"yes",25,1,1,0,0,"acept","not furnished",1200,19
"yes",100,3,2,1,4,"not acept","furnished",2700,35
"yes",69,2,1,0,4,"acept","not furnished",3000,22
"no",143,3,2,3,0,"acept","not furnished",1700,26
"yes",48,1,1,1,3,"acept","not furnished",3300,42
"no",380,4,6,3,0,"acept","not furnished",4000,61
"yes",340,5,4,2,7,"acept","not furnished",12000,153
"no",165,3,2,0,0,"acept","not furnished",3000,46
"yes",137,3,3,1,9,"acept","furnished",5500,70
"yes",33,2,1,0,6,"acept","not furnished",1900,25
"yes",120,4,3,2,8,"acept","not furnished",2210,28
"yes",150,4,3,0,2,"acept","not furnished",2850,37
"yes",218,4,4,4,3,"not acept","not furnished",4930,63
"yes",160,4,3,3,3,"acept","not furnished",7000,89
"yes",85,2,1,0,4,"acept","furnished",2190,28
"yes",230,3,3,0,9,"acept","furnished",5000,64
"yes",40,1,1,0,0,"not acept","not furnished",970,15
"yes",160,4,5,3,2,"acept","furnished",3800,49
"no",92,3,2,3,6,"acept","not furnished",2100,27
"yes",23,1,1,0,2,"not acept","not furnished",950,13
"yes",53,2,2,1,9,"not acept","not furnished",2100,27
"yes",260,3,2,3,10,"acept","not furnished",8500,108
"yes",140,3,1,0,0,"acept","not furnished",2700,41
"yes",236,4,5,7,4,"acept","furnished",10800,137
"yes",250,3,3,3,0,"acept","not furnished",3210,49
"yes",30,2,1,0,0,"acept","not furnished",1500,23
"yes",280,4,4,1,1,"acept","furnished",8000,102
"yes",103,3,1,3,2,"acept","not furnished",3400,44
"yes",60,1,1,0,0,"acept","furnished",4100,62
"yes",62,2,1,1,1,"acept","not furnished",1650,21
"yes",20,1,1,0,0,"acept","furnished",1800,23
"yes",278,3,2,1,11,"acept","not furnished",7800,99
"yes",42,2,1,1,18,"acept","not furnished",1200,16
"yes",260,4,5,5,6,"acept","not furnished",12500,159
"yes",160,3,3,2,1,"acept","furnished",12650,161
"yes",200,4,4,3,5,"acept","furnished",10200,130
"yes",52,2,1,1,8,"acept","not furnished",3000,39
"yes",100,2,2,1,10,"acept","furnished",1625,7
"yes",75,2,2,1,14,"acept","not furnished",2629,10
"no",30,1,1,0,0,"not acept","not furnished",1400,22
"yes",70,2,2,1,1,"not acept","not furnished",1000,13
"yes",55,2,1,0,0,"acept","not furnished",2000,31
"yes",23,1,1,0,25,"acept","not furnished",2150,28
"yes",250,3,4,3,8,"acept","not furnished",9000,115
"yes",240,4,5,3,4,"acept","not furnished",15000,191
"yes",110,2,1,1,0,"acept","not furnished",1500,23
"no",52,2,1,1,4,"acept","furnished",1800,23
"yes",20,1,1,0,5,"not acept","furnished",1700,22
"yes",40,1,1,0,0,"not acept","not furnished",780,12
"yes",35,1,1,1,4,"not acept","not furnished",1200,16
"yes",92,3,1,2,3,"acept","furnished",2200,28
"yes",700,4,6,6,0,"acept","not furnished",12500,188
"yes",50,1,1,1,7,"acept","furnished",2000,26
"yes",141,3,3,2,3,"acept","not furnished",7935,101
"yes",60,2,2,1,14,"not acept","furnished",2600,33
"yes",333,3,4,4,27,"acept","furnished",13000,165
"yes",48,1,1,0,3,"acept","not furnished",950,26
"yes",101,3,4,2,4,"not acept","furnished",6664,85
"yes",35,1,1,1,2,"acept","not furnished",2850,37
"yes",312,3,6,3,0,"acept","furnished",6300,95
"yes",40,1,1,0,14,"not acept","furnished",3800,49
"yes",45,1,1,1,2,"not acept","furnished",4200,54
"yes",145,3,3,2,1,"acept","furnished",5800,74
"yes",350,3,4,5,0,"acept","not furnished",5500,83
"yes",170,3,3,1,6,"acept","not furnished",2260,29
"yes",270,3,3,2,8,"acept","furnished",5500,70
"yes",70,2,2,0,0,"not acept","not furnished",3800,58
"yes",50,2,1,1,6,"acept","furnished",1900,15
"yes",33,1,1,1,19,"not acept","furnished",3413,12
"no",70,3,1,1,1,"acept","not furnished",1300,17
"yes",240,3,2,3,0,"acept","not furnished",5900,89
"yes",53,1,1,1,4,"acept","not furnished",4398,56
"yes",50,2,1,1,0,"acept","not furnished",1060,14
"yes",55,2,1,1,7,"not acept","not furnished",3900,50
"yes",500,5,6,5,0,"acept","not furnished",12500,188
"yes",380,2,4,0,21,"acept","furnished",6800,87
"yes",48,1,1,1,4,"acept","not furnished",3400,44
"yes",30,1,1,0,1,"acept","furnished",3300,42
"no",138,3,4,3,8,"acept","not furnished",5000,64
"yes",100,2,4,2,12,"not acept","furnished",3000,39
"yes",320,3,4,3,0,"acept","not furnished",6000,91
"yes",351,3,4,2,17,"not acept","furnished",9500,121
"yes",190,4,3,3,8,"acept","not furnished",5700,73
"yes",55,2,1,1,3,"acept","not furnished",2170,28
"yes",62,2,1,1,2,"acept","not furnished",5000,64
"yes",130,3,2,1,3,"acept","not furnished",4500,58
"yes",61,2,1,1,6,"acept","not furnished",2100,27
"yes",150,3,4,3,18,"not acept","furnished",7500,54
"no",87,2,1,0,10,"acept","not furnished",1100,14
"yes",156,3,4,3,4,"acept","not furnished",9000,115
"yes",33,1,1,0,12,"acept","not furnished",1655,21
"yes",46,1,1,1,7,"acept","not furnished",1816,8
"yes",45,1,1,1,9,"acept","not furnished",2142,20
"yes",50,2,1,1,5,"acept","not furnished",1100,14
"yes",90,2,2,2,0,"acept","furnished",4100,62
"yes",280,3,4,3,4,"not acept","not furnished",7600,97
"yes",98,2,3,2,8,"acept","furnished",8500,108
"yes",65,2,1,2,21,"acept","not furnished",4000,51
"yes",100,1,2,2,1,"acept","furnished",7000,89
"yes",170,3,5,3,1,"acept","furnished",9900,126
"yes",60,1,1,1,7,"acept","furnished",2000,26
"yes",400,3,5,6,0,"acept","furnished",4700,71
"yes",45,1,1,1,1,"not acept","furnished",5520,70
"yes",85,3,2,2,0,"acept","not furnished",2500,38
"yes",300,3,3,4,0,"acept","not furnished",3700,56
"yes",70,2,1,1,3,"not acept","not furnished",860,11
"yes",38,1,1,1,5,"not acept","furnished",3400,44
"yes",186,4,4,3,11,"acept","not furnished",6000,77
"yes",20,1,1,0,6,"acept","furnished",1800,23
"yes",210,3,3,2,15,"not acept","furnished",8667,110
"yes",80,3,2,2,12,"not acept","furnished",3008,39
"yes",22,1,1,0,25,"acept","not furnished",2100,27
"yes",70,3,2,1,3,"acept","not furnished",3700,47
"yes",162,3,3,1,8,"acept","not furnished",7000,89
"yes",20,1,1,0,5,"acept","furnished",1800,23
"yes",210,3,3,4,8,"acept","not furnished",12000,153
"yes",250,4,2,5,0,"acept","not furnished",4400,67
"yes",150,2,1,2,0,"acept","not furnished",1800,28
"yes",204,4,5,3,10,"not acept","not furnished",8000,102
"yes",93,2,2,1,8,"acept","not furnished",2490,32
"yes",90,3,1,1,4,"acept","not furnished",1600,21
"yes",70,3,1,1,12,"acept","not furnished",3000,39
"yes",65,2,2,1,6,"acept","not furnished",1890,24
"yes",45,2,1,1,14,"acept","not furnished",1500,20
"yes",204,4,6,4,8,"acept","furnished",6800,87
"yes",240,3,3,2,0,"acept","not furnished",4000,61
"yes",56,1,1,1,10,"not acept","furnished",2925,10
"yes",80,3,2,1,6,"acept","not furnished",1790,23
"yes",88,3,3,2,14,"acept","not furnished",2600,33
"yes",60,1,1,2,11,"acept","furnished",4600,59
"yes",240,4,3,1,0,"acept","not furnished",10200,154
"yes",60,2,1,1,0,"not acept","not furnished",1700,26
"no",240,3,4,2,0,"acept","not furnished",3000,46
"yes",37,2,1,0,1,"not acept","not furnished",1500,20
"yes",84,3,1,1,6,"acept","not furnished",3000,39
"yes",260,3,2,2,9,"acept","not furnished",12000,153
"yes",70,2,1,1,6,"acept","not furnished",1380,18
"no",151,3,2,3,10,"acept","furnished",2500,32
"yes",120,2,1,0,0,"acept","not furnished",1500,23
"yes",250,3,2,2,0,"acept","not furnished",3500,53
"yes",187,3,3,3,13,"acept","furnished",5000,64
"yes",87,2,2,1,4,"acept","not furnished",6675,85
"yes",455,4,5,4,5,"acept","not furnished",19500,248
"yes",210,4,5,3,12,"acept","furnished",2975,38
"yes",160,3,4,2,0,"acept","not furnished",4300,65
"yes",110,6,5,7,0,"acept","not furnished",9810,148
"yes",142,4,4,3,15,"not acept","not furnished",2980,38
"yes",700,5,7,8,0,"acept","furnished",6000,91
"yes",45,1,1,1,7,"acept","furnished",2050,26
"yes",130,3,2,1,1,"not acept","not furnished",4300,55
"no",147,4,3,1,0,"acept","not furnished",3500,53
"yes",150,2,1,0,1,"acept","not furnished",2285,29
"yes",130,2,3,2,0,"acept","not furnished",2500,38
"yes",89,3,2,1,14,"acept","not furnished",1760,23
"no",103,2,1,1,4,"not acept","not furnished",1100,14
"no",100,3,2,1,3,"acept","not furnished",1300,17
"yes",310,2,6,3,11,"not acept","not furnished",6000,77
"yes",100,2,3,1,6,"acept","not furnished",2900,37
"yes",70,2,2,1,0,"acept","not furnished",2400,37
"yes",148,3,3,0,6,"acept","not furnished",2400,31
"yes",80,3,1,1,8,"acept","furnished",2500,32
"yes",52,1,1,1,7,"acept","not furnished",1823,21
"yes",39,2,1,1,0,"not acept","not furnished",1500,23
"no",94,3,1,0,6,"acept","not furnished",1100,14
"yes",173,7,2,0,0,"not acept","not furnished",4800,73
"yes",300,5,6,6,0,"acept","not furnished",9500,143
"yes",651,7,7,8,0,"acept","not furnished",8500,128
"yes",19,1,1,0,0,"not acept","not furnished",1200,16
"yes",355,4,5,5,21,"not acept","furnished",15000,191
"no",45,2,1,1,1,"acept","not furnished",870,12
"yes",75,1,1,1,9,"acept","not furnished",2900,37
"yes",60,2,1,1,4,"acept","not furnished",1275,17
"no",277,3,4,4,0,"acept","not furnished",3270,50
"no",71,2,1,1,7,"acept","not furnished",1150,15
"yes",114,3,1,0,0,"acept","not furnished",2650,40
"yes",138,3,3,2,11,"acept","not furnished",3000,39
"yes",90,3,2,2,4,"acept","furnished",3600,46
"yes",235,3,2,2,0,"not acept","not furnished",8000,121
"yes",136,4,2,3,12,"acept","not furnished",3300,42
"yes",20,1,1,0,0,"acept","furnished",1800,23
"yes",36,1,1,0,13,"not acept","not furnished",1240,16
"yes",210,3,4,3,6,"acept","not furnished",13000,165
"yes",60,2,1,1,10,"acept","not furnished",1880,24
"yes",325,5,5,4,0,"acept","not furnished",6000,91
"no",43,2,1,1,0,"acept","not furnished",1061,14
"no",170,3,2,2,0,"acept","not furnished",2300,35
"no",55,1,2,0,6,"acept","not furnished",842,3
"yes",200,3,3,1,8,"acept","not furnished",5800,74
"yes",150,3,2,1,0,"not acept","not furnished",2500,38
"yes",140,2,1,0,0,"acept","not furnished",1650,25
"yes",160,3,3,1,6,"acept","not furnished",4500,58
"yes",300,3,4,4,0,"acept","not furnished",2800,43
"yes",408,4,6,3,20,"acept","not furnished",15000,191
"yes",99,3,2,1,8,"not acept","not furnished",2100,27
"yes",180,3,2,1,2,"acept","not furnished",10000,127
"yes",230,4,5,4,0,"acept","not furnished",8000,121
"yes",210,4,4,3,9,"acept","not furnished",9100,116
"yes",440,1,2,4,0,"acept","not furnished",9800,148
"yes",55,2,2,2,6,"acept","not furnished",1150,15
"no",70,1,2,1,11,"not acept","furnished",1500,20
"yes",370,5,4,3,0,"acept","not furnished",14000,211
"yes",157,3,3,1,5,"acept","not furnished",4500,58
"yes",176,3,3,3,9,"acept","not furnished",5000,64
"no",78,3,1,1,2,"acept","not furnished",850,11
"yes",35,1,1,0,7,"not acept","not furnished",1080,14
"no",52,1,1,1,8,"acept","not furnished",1200,16
"yes",240,4,4,3,1,"acept","not furnished",4200,54
"yes",84,2,3,2,8,"acept","not furnished",4000,16
"yes",125,3,3,2,0,"acept","not furnished",2800,43
"no",78,3,2,1,15,"acept","not furnished",1935,9
"no",58,2,1,1,1,"acept","furnished",3500,45
"yes",113,3,2,2,1,"acept","not furnished",1915,7
"yes",52,1,1,1,8,"not acept","not furnished",4420,57
"yes",28,1,1,0,6,"acept","not furnished",1450,19
"yes",54,1,1,0,8,"acept","not furnished",1940,25
"yes",270,4,4,4,5,"acept","not furnished",12850,163
"yes",220,3,3,3,9,"acept","not furnished",8900,113
"yes",118,3,3,2,5,"not acept","not furnished",9000,115
"yes",92,3,2,1,9,"not acept","not furnished",3112,13
"yes",62,2,1,1,17,"not acept","not furnished",3356,13
"yes",250,3,4,3,11,"acept","not furnished",5100,65
"no",750,4,5,5,0,"not acept","not furnished",10400,157
"yes",177,3,2,2,0,"acept","not furnished",4000,61
"yes",138,3,2,1,7,"not acept","not furnished",7600,97
"yes",140,3,2,1,5,"acept","not furnished",5000,64
"yes",450,4,5,6,0,"not acept","furnished",9000,136
"yes",167,3,3,3,4,"acept","not furnished",1670,22
"yes",30,1,1,1,11,"not acept","furnished",2900,37
"yes",120,3,2,0,0,"acept","not furnished",2250,34
"no",60,2,1,1,0,"acept","not furnished",800,11
"yes",210,3,3,4,0,"acept","not furnished",3294,50
"yes",49,1,1,1,7,"acept","furnished",6200,79
"yes",75,2,2,1,8,"acept","furnished",2950,38
"yes",109,3,2,1,2,"acept","not furnished",5300,68
"yes",57,1,2,0,17,"acept","not furnished",1400,18
"yes",100,4,2,2,0,"acept","not furnished",3500,53
"yes",70,2,2,2,11,"not acept","furnished",3290,42
"yes",250,3,2,8,0,"acept","not furnished",6500,98
"yes",103,3,2,2,6,"acept","not furnished",3000,39
"yes",90,3,2,2,11,"not acept","not furnished",5000,64
"no",273,4,2,2,4,"acept","furnished",2770,36
"yes",37,1,1,0,31,"not acept","furnished",1650,21
"yes",61,2,1,1,4,"acept","not furnished",1850,24
"yes",64,2,2,1,0,"not acept","not furnished",1900,29
"yes",220,3,5,4,10,"acept","not furnished",6800,87
"yes",58,2,2,1,1,"acept","not furnished",2530,22
"yes",145,3,3,3,6,"acept","not furnished",12000,153
"yes",380,5,5,4,0,"acept","not furnished",15000,226
