city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount,fire insurance,total
yes,48,1,1,2,7,acept,furnished,"R$7,000",R$89,"R$9,634"
yes,220,5,4,3,-,not acept,not furnished,"R$8,000",R$121,"R$8,546"
yes,600,5,5,6,-,acept,not furnished,"R$15,000",R$191,"R$17,290"
yes,260,3,4,3,3,acept,not furnished,"R$1,040",R$14,"R$5,704"
yes,250,3,4,0,6,acept,not furnished,"R$5,000",R$64,"R$9,898"
yes,126,3,2,2,18,not acept,not furnished,"R$1,680",R$22,"R$2,692"
yes,62,2,2,0,6,not acept,not furnished,"R$1,400",R$18,"R$2,155"
yes,68,2,1,0,2,not acept,not furnished,"R$1,300",R$17,"R$1,617"
yes,195,4,3,4,7,acept,not furnished,"R$2,700",R$35,"R$5,610"
yes,57,2,2,1,22,not acept,furnished,"R$4,500",R$58,"R$5,178"
yes,556,4,5,7,-,acept,not furnished,"R$7,000",R$106,"R$9,165"
yes,70,2,1,1,14,acept,not furnished,"R$2,400",R$31,"R$3,169"
yes,105,3,2,3,1,acept,not furnished,"R$1,900",R$25,"R$3,727"
no,200,4,3,2,1,acept,not furnished,"R$3,400",R$44,"R$4,803"
yes,290,3,5,4,8,acept,furnished,"R$7,000",R$89,"R$10,670"
yes,90,2,2,1,7,not acept,furnished,"R$3,910",R$15,"R$4,792"
yes,94,1,2,2,2,not acept,furnished,"R$13,000",R$165,"R$14,910"
yes,130,3,4,2,11,not acept,not furnished,"R$2,318",R$30,"R$4,309"
yes,40,1,1,0,-,acept,not furnished,"R$1,100",R$17,"R$1,312"
yes,110,4,5,3,-,acept,not furnished,"R$3,900",R$59,"R$4,584"
yes,28,1,1,0,5,acept,furnished,"R$1,764",R$23,"R$2,042"
yes,240,3,3,3,11,acept,furnished,"R$10,000",R$127,"R$14,330"
yes,100,3,3,3,1,acept,not furnished,"R$3,300",R$42,"R$4,759"
yes,20,1,1,0,-,acept,not furnished,"R$2,060",R$27,"R$2,087"
yes,300,4,4,4,19,acept,furnished,"R$9,000",R$115,"R$13,580"
yes,16,1,1,0,1,not acept,not furnished,R$850,R$11,R$891
yes,90,2,1,0,2,not acept,not furnished,"R$1,720",R$26,"R$1,746"
yes,90,3,3,2,1,acept,not furnished,"R$1,997",R$26,"R$3,474"
yes,39,2,1,0,3,acept,not furnished,"R$1,450",R$19,"R$1,632"
no,578,4,5,8,-,acept,not furnished,"R$9,500",R$143,"R$10,430"
yes,180,3,2,1,-,not acept,not furnished,"R$3,000",R$46,"R$3,209"
yes,209,3,3,0,4,acept,not furnished,"R$4,000",R$51,"R$7,054"
yes,170,3,3,2,6,acept,not furnished,"R$9,500",R$121,"R$12,830"
yes,250,4,5,4,6,acept,not furnished,"R$9,800",R$125,"R$12,970"
yes,262,4,5,4,17,acept,not furnished,"R$2,250",R$29,"R$6,129"
yes,100,3,3,0,-,acept,not furnished,"R$1,955",R$30,"R$2,015"
yes,200,3,2,2,-,acept,not furnished,"R$2,900",R$44,"R$3,735"
yes,70,2,1,1,6,acept,not furnished,"R$3,000",R$39,"R$3,589"
yes,244,3,3,3,4,acept,not furnished,"R$8,900",R$113,"R$15,690"
yes,270,5,4,4,6,not acept,not furnished,"R$7,000",R$89,"R$12,270"
yes,45,1,1,0,-,not acept,not furnished,"R$1,030",R$16,"R$1,106"
yes,20,1,1,0,3,not acept,furnished,"R$2,400",R$31,"R$2,830"
yes,70,2,2,0,1,not acept,not furnished,"R$3,750",R$48,"R$4,543"
no,130,2,2,5,-,acept,not furnished,"R$1,800",R$28,"R$2,149"
no,104,2,2,1,2,acept,not furnished,"R$1,700",R$22,"R$2,424"
yes,65,1,1,1,9,not acept,not furnished,"R$2,500",R$32,"R$3,532"
yes,235,3,3,3,11,not acept,not furnished,"R$6,500",R$83,"R$8,529"
yes,200,3,4,2,2,acept,not furnished,"R$9,180",R$117,"R$12,000"
yes,150,2,2,1,-,acept,furnished,"R$2,175",R$12,"R$2,187"
no,60,2,1,1,2,acept,not furnished,"R$1,000",R$13,"R$1,327"
yes,82,1,1,2,1,acept,not furnished,"R$8,000",R$102,"R$10,020"
yes,380,3,2,3,5,acept,not furnished,"R$15,000",R$191,"R$19,310"
yes,380,4,4,3,1,acept,not furnished,"R$8,000",R$102,"R$12,580"
yes,54,2,2,1,16,acept,not furnished,"R$2,200",R$28,"R$3,010"
yes,67,2,2,1,1,not acept,furnished,"R$3,500",R$45,"R$4,185"
yes,330,2,4,3,-,acept,not furnished,"R$6,000",R$91,"R$8,091"
yes,117,4,5,4,10,not acept,not furnished,"R$3,175",R$41,"R$5,450"
no,200,3,3,5,-,acept,not furnished,"R$2,650",R$40,"R$2,910"
yes,305,2,3,0,10,acept,not furnished,"R$5,000",R$64,"R$9,231"
yes,53,2,2,2,5,acept,not furnished,"R$2,495",R$11,"R$3,429"
no,170,4,3,2,-,acept,not furnished,"R$1,750",R$27,"R$1,886"
yes,50,1,1,1,13,acept,not furnished,"R$1,800",R$23,"R$2,323"
yes,250,4,2,3,2,not acept,furnished,"R$15,000",R$191,"R$18,290"
yes,164,3,2,1,15,acept,furnished,"R$3,700",R$47,"R$5,174"
yes,90,2,1,1,-,acept,not furnished,"R$2,500",R$38,"R$2,757"
no,115,3,3,1,5,acept,not furnished,"R$1,900",R$25,"R$2,990"
yes,206,3,3,1,11,acept,furnished,"R$7,400",R$94,"R$10,990"
yes,50,2,2,1,10,acept,not furnished,"R$1,900",R$25,"R$2,305"
no,49,2,1,1,1,acept,not furnished,"R$1,000",R$13,"R$1,314"
yes,30,1,1,0,5,acept,not furnished,"R$1,210",R$16,"R$1,577"
yes,130,3,1,1,-,acept,not furnished,"R$5,600",R$85,"R$5,685"
yes,360,4,9,8,-,acept,not furnished,"R$8,540",R$129,"R$9,998"
yes,54,2,1,1,1,acept,not furnished,"R$1,932",R$8,"R$2,683"
no,252,3,3,4,-,acept,not furnished,"R$3,300",R$50,"R$3,609"
no,130,3,2,0,-,acept,not furnished,"R$1,400",R$22,"R$1,432"
no,400,4,4,3,-,acept,not furnished,"R$8,700",R$131,"R$10,490"
yes,27,1,1,0,2,not acept,not furnished,R$895,R$12,R$998
yes,45,1,1,1,8,not acept,not furnished,"R$2,349",R$8,"R$2,946"
yes,260,4,4,2,5,acept,furnished,"R$4,400",R$56,"R$7,610"
yes,74,2,3,2,24,acept,not furnished,"R$3,200",R$41,"R$3,731"
yes,59,2,2,0,5,not acept,not furnished,"R$2,040",R$26,"R$2,845"
yes,51,2,1,1,4,acept,not furnished,"R$2,500",R$32,"R$3,010"
yes,346,4,4,4,6,acept,not furnished,"R$4,080",R$52,"R$9,036"
yes,30,1,1,0,-,not acept,not furnished,"R$1,200",R$19,"R$1,219"
yes,58,2,1,1,1,acept,not furnished,"R$1,397",R$18,"R$2,128"
no,65,2,1,1,1,acept,furnished,"R$1,850",R$24,"R$2,382"
yes,110,2,3,2,2,acept,not furnished,"R$6,500",R$83,"R$8,376"
yes,600,5,7,8,-,acept,furnished,"R$9,000",R$136,"R$11,010"
yes,35,1,1,0,1,acept,not furnished,"R$1,950",R$25,"R$1,976"
yes,65,3,1,0,13,not acept,not furnished,"R$1,880",R$24,"R$2,444"
yes,83,2,1,1,6,not acept,not furnished,"R$1,600",R$21,"R$2,296"
yes,100,3,2,0,3,not acept,not furnished,"R$2,000",R$26,"R$3,076"
yes,90,2,2,1,3,acept,not furnished,"R$3,000",R$39,"R$4,089"
yes,65,1,1,1,14,not acept,furnished,"R$3,500",R$45,"R$5,946"
yes,135,3,2,2,3,acept,not furnished,"R$2,300",R$30,"R$4,755"
yes,90,2,2,2,-,acept,not furnished,"R$1,800",R$28,"R$1,828"
yes,58,2,1,1,8,acept,not furnished,"R$1,500",R$20,"R$2,175"
yes,34,2,1,0,10,acept,not furnished,"R$2,200",R$28,"R$2,543"
yes,350,3,5,3,-,acept,not furnished,"R$12,000",R$181,"R$13,430"
yes,45,1,1,1,18,not acept,furnished,"R$4,500",R$58,"R$7,092"
yes,120,3,2,1,1,not acept,not furnished,"R$2,500",R$32,"R$3,562"
no,45,1,1,1,4,not acept,not furnished,R$850,R$11,"R$1,418"
yes,26,1,1,0,-,not acept,not furnished,R$900,R$12,R$922
yes,137,4,1,1,4,not acept,furnished,"R$3,000",R$22,"R$3,462"
yes,200,2,2,1,-,acept,not furnished,"R$2,000",R$31,"R$2,032"
yes,20,1,1,0,6,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,163,3,3,3,8,acept,furnished,"R$2,550",R$33,"R$4,532"
yes,32,1,1,1,8,not acept,not furnished,"R$2,088",R$7,"R$2,692"
yes,45,1,1,1,7,acept,not furnished,"R$1,700",R$22,"R$2,587"
yes,147,3,2,0,9,not acept,furnished,"R$4,250",R$54,"R$5,804"
yes,260,3,2,1,-,not acept,not furnished,"R$3,000",R$46,"R$3,380"
yes,36,1,1,1,8,acept,furnished,"R$3,400",R$44,"R$4,124"
yes,20,1,1,0,3,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,112,1,2,2,7,acept,furnished,"R$8,389",R$107,"R$8,496"
yes,35,1,1,0,9,acept,furnished,"R$1,300",R$17,"R$1,807"
yes,280,3,4,2,-,acept,not furnished,"R$2,590",R$39,"R$2,939"
yes,137,2,2,1,-,not acept,not furnished,"R$4,600",R$70,"R$5,080"
yes,120,3,3,1,4,acept,not furnished,"R$3,070",R$39,"R$4,124"
yes,62,3,1,1,7,not acept,not furnished,"R$1,600",R$21,"R$2,046"
yes,70,2,2,0,-,acept,not furnished,"R$1,980",R$30,"R$2,010"
yes,78,3,2,2,10,acept,not furnished,"R$2,400",R$31,"R$3,198"
yes,39,1,1,1,24,not acept,furnished,"R$4,200",R$54,"R$4,979"
no,90,3,3,2,4,acept,not furnished,"R$1,350",R$18,"R$2,186"
yes,121,2,3,1,20,acept,not furnished,"R$2,560",R$33,"R$3,588"
yes,97,3,3,2,7,acept,not furnished,"R$2,500",R$32,"R$3,865"
yes,130,2,2,2,-,acept,not furnished,"R$3,500",R$53,"R$4,001"
no,46,2,1,1,4,acept,not furnished,"R$1,250",R$16,"R$1,516"
yes,93,2,2,2,2,acept,furnished,"R$5,500",R$70,"R$7,061"
yes,70,2,2,0,1,acept,not furnished,"R$1,000",R$13,"R$1,431"
yes,100,2,1,1,-,acept,not furnished,"R$1,900",R$29,"R$2,013"
yes,64,1,2,1,3,acept,not furnished,"R$2,603",R$16,"R$3,483"
yes,84,2,2,0,12,acept,not furnished,"R$1,500",R$20,"R$2,267"
yes,146,3,5,3,17,not acept,furnished,"R$9,000",R$115,"R$10,520"
yes,110,3,2,1,1,acept,not furnished,"R$5,500",R$70,"R$6,595"
yes,80,1,2,1,10,acept,furnished,"R$4,000",R$51,"R$5,160"
yes,280,3,4,4,4,acept,not furnished,"R$15,000",R$191,"R$21,690"
yes,180,4,3,2,5,acept,not furnished,"R$5,500",R$70,"R$8,887"
yes,20,1,1,0,2,not acept,furnished,"R$3,142",R$40,"R$3,399"
yes,70,3,1,1,9,acept,not furnished,"R$2,500",R$32,"R$3,532"
yes,54,1,1,1,13,not acept,not furnished,"R$4,130",R$53,"R$5,917"
yes,469,4,5,4,12,acept,not furnished,"R$15,000",R$191,"R$23,160"
no,240,3,4,4,1,acept,not furnished,"R$7,000",R$89,"R$9,889"
yes,141,3,2,2,11,acept,not furnished,"R$6,900",R$88,"R$9,638"
yes,70,2,1,0,1,acept,not furnished,"R$1,600",R$21,"R$1,621"
yes,58,1,2,1,14,acept,furnished,"R$5,800",R$74,"R$6,994"
yes,160,3,2,2,2,acept,not furnished,"R$3,599",R$46,"R$5,835"
no,348,3,3,3,-,acept,not furnished,"R$6,000",R$91,"R$6,441"
yes,68,2,1,1,1,acept,not furnished,"R$1,200",R$16,"R$2,280"
no,58,2,2,2,8,not acept,furnished,"R$3,500",R$45,"R$3,892"
yes,138,2,3,2,9,acept,furnished,"R$2,180",R$28,"R$4,896"
yes,55,1,1,1,11,not acept,not furnished,"R$2,200",R$28,"R$3,072"
no,170,3,2,2,-,acept,not furnished,"R$2,300",R$35,"R$2,433"
yes,400,3,7,4,-,acept,not furnished,"R$20,000",R$254,"R$23,340"
no,188,5,4,0,-,acept,not furnished,"R$4,000",R$61,"R$4,239"
yes,240,3,4,2,-,acept,not furnished,"R$8,200",R$124,"R$8,950"
yes,23,1,1,0,23,acept,not furnished,"R$2,100",R$27,"R$2,560"
yes,48,1,2,1,2,acept,furnished,"R$3,857",R$13,"R$4,620"
no,380,3,5,4,-,acept,not furnished,"R$3,800",R$58,"R$4,317"
yes,58,2,2,1,12,not acept,furnished,"R$4,000",R$51,"R$5,235"
yes,200,2,1,1,-,acept,not furnished,"R$2,450",R$37,"R$2,687"
yes,70,2,1,1,7,acept,furnished,"R$3,300",R$42,"R$5,618"
yes,126,2,2,1,-,acept,not furnished,"R$2,500",R$38,"R$2,538"
yes,218,3,4,2,6,not acept,not furnished,"R$7,800",R$99,"R$10,030"
no,190,4,4,2,14,acept,not furnished,"R$3,200",R$15,"R$4,307"
no,64,1,2,1,11,not acept,not furnished,"R$1,540",R$20,"R$2,558"
yes,420,4,4,4,7,acept,not furnished,"R$12,000",R$153,"R$20,150"
yes,42,1,1,0,6,acept,furnished,"R$1,800",R$23,"R$2,168"
no,284,4,3,4,-,acept,furnished,"R$6,000",R$91,"R$7,996"
yes,108,3,2,2,2,acept,not furnished,"R$2,200",R$28,"R$3,403"
yes,95,2,1,1,-,acept,not furnished,"R$2,900",R$44,"R$2,944"
yes,217,2,3,3,5,acept,furnished,"R$6,000",R$77,"R$9,577"
yes,190,3,3,2,10,not acept,not furnished,"R$9,000",R$115,"R$12,800"
no,150,2,2,1,-,acept,not furnished,"R$1,060",R$16,"R$1,243"
yes,75,1,2,0,4,acept,not furnished,"R$2,100",R$27,"R$2,387"
yes,40,1,1,0,-,not acept,not furnished,R$780,R$12,R$809
yes,110,2,1,1,2,acept,not furnished,"R$3,000",R$39,"R$4,376"
yes,139,4,5,2,6,not acept,not furnished,"R$10,000",R$127,"R$12,210"
yes,30,1,1,0,12,acept,furnished,"R$3,400",R$44,"R$3,794"
yes,58,2,1,1,9,acept,not furnished,"R$1,800",R$23,"R$2,220"
yes,150,3,4,2,-,acept,not furnished,"R$2,750",R$42,"R$3,076"
yes,131,4,4,3,1,not acept,furnished,"R$6,000",R$77,"R$8,975"
yes,18,1,1,0,-,acept,not furnished,"R$1,720",R$22,"R$1,742"
yes,80,2,1,1,6,acept,not furnished,"R$1,500",R$20,"R$1,920"
yes,144,3,4,3,4,acept,furnished,"R$7,200",R$92,"R$8,737"
yes,85,2,1,0,4,acept,not furnished,"R$1,617",R$21,"R$2,215"
yes,76,2,2,1,2,acept,not furnished,"R$3,410",R$44,"R$4,626"
yes,370,5,3,4,-,acept,not furnished,"R$8,500",R$128,"R$9,120"
no,100,2,1,0,16,acept,not furnished,R$900,R$12,"R$1,523"
yes,260,3,5,0,-,acept,not furnished,"R$9,000",R$136,"R$9,770"
yes,220,3,4,2,-,acept,not furnished,"R$15,000",R$226,"R$16,460"
yes,273,3,3,1,5,acept,not furnished,"R$5,000",R$64,"R$7,722"
yes,107,3,2,1,12,not acept,not furnished,"R$5,800",R$74,"R$7,300"
yes,34,2,1,0,10,acept,not furnished,"R$2,200",R$28,"R$2,543"
yes,80,2,1,0,-,acept,furnished,"R$4,892",R$74,"R$4,966"
yes,550,4,5,0,1,acept,not furnished,"R$8,800",R$112,"R$11,610"
yes,60,3,3,2,-,acept,not furnished,"R$2,700",R$41,"R$3,014"
yes,45,2,1,1,24,acept,not furnished,"R$1,850",R$24,"R$2,523"
yes,170,4,2,3,-,acept,not furnished,"R$2,550",R$39,"R$2,589"
yes,200,3,4,3,18,acept,furnished,"R$6,200",R$79,"R$9,713"
no,70,2,1,1,15,not acept,furnished,"R$2,250",R$29,"R$2,707"
yes,77,2,2,1,5,acept,not furnished,"R$1,950",R$25,"R$3,186"
yes,270,4,4,4,11,acept,furnished,"R$15,000",R$191,"R$18,090"
yes,339,4,5,4,13,acept,furnished,"R$15,000",R$191,"R$19,430"
yes,50,1,1,0,-,acept,not furnished,"R$1,100",R$17,"R$1,117"
yes,104,2,2,0,3,acept,furnished,"R$2,200",R$28,"R$2,984"
yes,68,2,2,1,19,not acept,furnished,"R$6,700",R$85,"R$7,720"
yes,240,4,4,3,4,acept,not furnished,"R$2,000",R$26,"R$12,030"
yes,45,1,1,1,14,not acept,furnished,"R$2,300",R$30,"R$4,697"
yes,189,4,3,3,3,acept,not furnished,"R$4,500",R$58,"R$9,326"
yes,43,1,1,0,6,acept,not furnished,"R$1,472",R$6,"R$1,739"
yes,35,1,1,1,1,acept,not furnished,"R$1,010",R$13,"R$1,053"
yes,200,3,3,2,-,acept,not furnished,"R$8,000",R$121,"R$8,413"
yes,250,3,5,8,-,acept,furnished,"R$6,000",R$91,"R$6,098"
yes,400,4,6,3,-,acept,not furnished,"R$7,225",R$109,"R$7,497"
yes,45,1,1,1,1,not acept,furnished,"R$5,520",R$70,"R$8,590"
yes,22,1,1,1,25,acept,not furnished,"R$2,200",R$28,"R$2,754"
yes,180,3,3,2,4,acept,not furnished,"R$8,000",R$102,"R$10,620"
yes,486,4,6,5,8,not acept,not furnished,"R$4,861",R$62,"R$13,310"
yes,72,3,2,2,7,acept,not furnished,"R$2,312",R$8,"R$3,040"
yes,830,2,2,2,-,acept,not furnished,"R$2,001",R$31,"R$2,191"
yes,52,1,1,1,1,acept,furnished,"R$4,667",R$60,"R$5,201"
yes,90,1,1,0,11,not acept,not furnished,"R$2,066",R$27,"R$2,393"
no,165,3,2,1,1,acept,not furnished,"R$1,800",R$23,"R$3,217"
yes,71,2,2,1,4,acept,not furnished,"R$1,250",R$16,"R$2,031"
yes,65,2,2,2,6,acept,not furnished,"R$2,000",R$26,"R$2,743"
no,260,3,5,5,-,acept,not furnished,"R$7,600",R$115,"R$9,999"
yes,140,2,1,0,8,acept,not furnished,"R$4,500",R$58,"R$5,858"
yes,200,3,2,3,14,acept,furnished,"R$8,000",R$102,"R$11,770"
yes,204,3,2,2,2,acept,not furnished,"R$7,000",R$89,"R$11,400"
yes,96,3,1,2,1,acept,not furnished,"R$1,847",R$24,"R$2,486"
yes,136,3,4,3,4,not acept,not furnished,"R$3,500",R$45,"R$5,441"
yes,156,3,2,1,-,acept,not furnished,"R$6,400",R$97,"R$6,556"
no,98,1,1,1,5,acept,not furnished,"R$2,800",R$36,"R$3,718"
yes,150,3,3,3,-,acept,not furnished,"R$4,600",R$70,"R$5,004"
yes,200,3,3,5,-,acept,not furnished,"R$14,000",R$211,"R$15,050"
yes,31,2,1,0,2,acept,not furnished,"R$1,040",R$14,"R$1,054"
yes,136,3,2,2,13,acept,furnished,"R$15,000",R$191,"R$16,820"
yes,440,4,4,4,11,acept,furnished,"R$10,200",R$130,"R$18,160"
yes,110,3,3,1,9,not acept,not furnished,"R$3,000",R$39,"R$4,123"
yes,347,5,5,4,-,acept,not furnished,"R$7,000",R$106,"R$7,606"
yes,98,3,2,1,5,acept,furnished,"R$2,400",R$31,"R$3,951"
yes,600,3,3,3,9,acept,not furnished,"R$15,000",R$191,"R$24,880"
yes,53,2,2,1,10,not acept,furnished,"R$3,000",R$39,"R$3,707"
no,58,1,2,2,2,acept,not furnished,"R$1,450",R$19,"R$2,166"
yes,162,2,2,3,6,acept,furnished,"R$15,000",R$191,"R$17,300"
yes,50,1,1,1,20,not acept,furnished,"R$5,300",R$68,"R$6,361"
yes,230,5,3,2,-,acept,furnished,"R$3,491",R$53,"R$3,835"
yes,93,3,4,2,6,acept,furnished,"R$2,800",R$36,"R$4,093"
yes,93,1,3,1,4,not acept,not furnished,"R$3,500",R$45,"R$4,618"
yes,20,1,1,0,6,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,150,3,2,0,-,acept,not furnished,"R$2,500",R$38,"R$2,688"
yes,182,3,5,3,10,acept,not furnished,"R$4,900",R$63,"R$9,438"
yes,48,1,1,1,2,acept,not furnished,"R$1,797",R$18,"R$2,440"
yes,98,3,2,2,10,acept,not furnished,"R$4,500",R$58,"R$5,458"
yes,197,3,4,1,10,acept,not furnished,"R$4,500",R$58,"R$7,682"
yes,114,4,4,2,6,acept,not furnished,"R$2,790",R$36,"R$4,262"
yes,70,2,1,0,1,acept,not furnished,"R$1,300",R$17,"R$1,670"
yes,240,5,2,3,-,not acept,not furnished,"R$6,500",R$98,"R$6,888"
yes,55,1,1,0,1,acept,not furnished,"R$1,100",R$8,"R$1,108"
yes,90,3,3,1,-,acept,not furnished,"R$2,600",R$40,"R$2,651"
yes,106,3,2,1,14,acept,furnished,"R$10,000",R$127,"R$11,300"
yes,250,3,4,2,1,not acept,not furnished,"R$7,000",R$89,"R$9,531"
yes,168,3,2,4,-,not acept,not furnished,"R$3,500",R$53,"R$4,470"
yes,150,3,2,1,8,acept,not furnished,"R$4,800",R$61,"R$6,033"
yes,350,3,3,3,-,not acept,not furnished,"R$10,000",R$151,"R$11,440"
yes,23,1,1,1,12,acept,furnished,"R$2,800",R$36,"R$3,535"
yes,290,4,4,2,6,acept,furnished,"R$7,800",R$99,"R$11,680"
yes,160,4,3,0,1,acept,furnished,"R$2,300",R$30,"R$3,561"
yes,12,1,1,0,-,not acept,not furnished,"R$1,050",R$14,"R$1,114"
yes,280,3,4,2,-,acept,furnished,"R$8,000",R$121,"R$16,790"
yes,107,3,3,2,3,acept,not furnished,"R$4,500",R$58,"R$6,575"
yes,25,1,1,0,-,not acept,furnished,"R$1,750",R$23,"R$1,773"
yes,37,1,1,0,1,acept,not furnished,"R$1,400",R$18,"R$1,418"
yes,157,4,3,2,-,acept,not furnished,"R$6,608",R$100,"R$7,200"
yes,71,2,3,2,13,not acept,not furnished,"R$3,700",R$47,"R$4,297"
yes,130,4,3,2,13,acept,not furnished,"R$2,500",R$32,"R$4,046"
yes,300,3,4,7,-,not acept,not furnished,"R$4,340",R$66,"R$4,956"
yes,525,5,4,4,-,acept,not furnished,"R$8,330",R$126,"R$10,620"
yes,94,3,3,2,1,acept,not furnished,"R$2,433",R$31,"R$3,593"
yes,240,4,2,6,-,not acept,furnished,"R$4,675",R$71,"R$5,127"
yes,400,3,3,4,-,acept,not furnished,"R$3,790",R$57,"R$4,007"
yes,228,3,4,3,6,acept,furnished,"R$14,000",R$178,"R$18,680"
yes,395,4,4,3,16,acept,furnished,"R$15,000",R$191,"R$18,160"
yes,227,4,4,3,6,acept,not furnished,"R$9,000",R$115,"R$14,530"
yes,685,4,3,5,11,acept,not furnished,"R$13,000",R$165,"R$20,250"
no,297,4,6,2,3,acept,not furnished,"R$2,800",R$36,"R$6,069"
yes,145,3,3,1,1,acept,not furnished,"R$5,800",R$74,"R$7,474"
no,180,3,4,4,-,acept,not furnished,"R$3,230",R$49,"R$3,529"
no,269,4,5,0,12,acept,not furnished,"R$5,100",R$65,"R$9,128"
yes,270,3,3,3,16,acept,not furnished,"R$13,000",R$165,"R$16,920"
yes,390,3,4,4,10,not acept,not furnished,"R$9,000",R$115,"R$14,510"
yes,200,2,5,2,2,not acept,furnished,"R$15,000",R$191,"R$18,580"
yes,330,5,4,2,-,acept,furnished,"R$7,650",R$115,"R$8,485"
yes,66,1,1,1,4,not acept,not furnished,"R$1,600",R$21,"R$4,047"
yes,290,5,3,3,6,acept,not furnished,"R$4,100",R$52,"R$9,387"
yes,45,1,1,0,-,not acept,not furnished,"R$1,500",R$20,"R$2,220"
yes,98,2,2,0,5,not acept,furnished,"R$4,500",R$58,"R$5,482"
yes,160,2,1,0,12,not acept,not furnished,"R$2,400",R$31,"R$3,631"
yes,80,2,1,1,13,not acept,not furnished,"R$2,900",R$37,"R$3,958"
yes,160,2,3,2,21,not acept,furnished,"R$12,000",R$153,"R$14,960"
yes,118,3,2,2,4,acept,not furnished,"R$8,950",R$114,"R$10,990"
yes,230,4,3,2,1,acept,not furnished,"R$12,200",R$155,"R$15,200"
no,650,4,6,4,-,acept,not furnished,"R$13,000",R$196,"R$15,000"
yes,147,3,3,3,5,acept,furnished,"R$12,000",R$153,"R$15,150"
yes,138,3,1,0,-,acept,not furnished,"R$3,500",R$53,"R$3,998"
yes,102,2,2,2,-,acept,not furnished,"R$3,500",R$53,"R$3,801"
no,57,2,1,1,5,acept,furnished,"R$1,850",R$24,"R$2,339"
yes,36,1,1,1,15,acept,furnished,"R$3,328",R$14,"R$4,217"
yes,248,3,4,4,2,acept,not furnished,"R$14,000",R$178,"R$18,310"
yes,190,4,2,3,-,acept,not furnished,"R$8,000",R$121,"R$8,646"
no,60,2,1,1,3,acept,not furnished,"R$1,299",R$17,"R$1,600"
yes,309,4,7,8,-,acept,not furnished,"R$10,000",R$151,"R$11,320"
yes,884,5,7,6,8,acept,not furnished,"R$12,750",R$162,"R$27,830"
no,40,1,1,0,4,acept,not furnished,R$500,R$7,R$944
yes,80,2,2,1,-,acept,furnished,"R$1,600",R$25,"R$1,650"
yes,200,4,5,4,16,acept,not furnished,"R$10,000",R$127,"R$13,880"
yes,60,1,1,1,-,acept,not furnished,"R$1,500",R$23,"R$1,623"
yes,180,2,3,2,-,acept,not furnished,"R$3,150",R$48,"R$3,499"
yes,213,4,4,3,17,acept,not furnished,"R$6,500",R$83,"R$10,340"
yes,190,3,2,1,6,acept,not furnished,"R$6,800",R$87,"R$9,983"
no,205,3,2,4,-,acept,not furnished,"R$2,570",R$39,"R$2,666"
yes,126,3,4,1,3,acept,not furnished,"R$4,000",R$51,"R$6,340"
yes,260,4,4,6,22,acept,furnished,"R$5,500",R$70,"R$9,217"
no,66,1,1,1,2,acept,furnished,"R$5,000",R$64,"R$6,026"
yes,900,4,9,8,1,acept,not furnished,"R$15,000",R$226,"R$20,930"
yes,380,4,3,3,11,acept,not furnished,"R$5,800",R$74,"R$10,970"
yes,146,3,3,2,9,acept,not furnished,"R$2,000",R$26,"R$3,518"
no,53,1,1,1,13,acept,not furnished,R$650,R$9,"R$1,187"
yes,326,3,4,5,12,acept,furnished,"R$15,000",R$191,"R$21,790"
yes,230,3,2,0,1,acept,not furnished,"R$2,500",R$32,"R$3,032"
yes,123,3,3,2,3,not acept,furnished,"R$3,400",R$44,"R$5,305"
yes,30,1,1,0,7,not acept,not furnished,"R$1,350",R$18,"R$1,952"
yes,60,2,1,0,-,not acept,not furnished,"R$1,100",R$17,"R$1,167"
yes,200,2,2,1,10,acept,furnished,"R$9,500",R$121,"R$12,920"
yes,315,3,4,5,14,not acept,furnished,"R$15,000",R$191,"R$17,690"
yes,55,2,1,0,-,acept,not furnished,"R$1,350",R$18,"R$1,748"
yes,70,2,1,0,1,acept,not furnished,"R$2,448",R$32,"R$2,639"
no,49,2,1,1,5,acept,not furnished,"R$1,010",R$13,"R$1,296"
yes,18,1,1,0,8,acept,not furnished,"R$1,130",R$15,"R$1,575"
yes,100,3,3,4,-,acept,not furnished,"R$2,500",R$38,"R$2,684"
yes,61,2,1,0,5,acept,not furnished,"R$3,050",R$39,"R$3,804"
yes,79,2,3,2,15,acept,not furnished,"R$3,200",R$41,"R$4,277"
yes,73,2,2,1,11,acept,not furnished,"R$1,250",R$16,"R$2,116"
yes,30,1,1,0,1,acept,not furnished,"R$1,550",R$20,"R$1,591"
yes,61,2,1,0,3,acept,not furnished,"R$1,841",R$24,"R$2,105"
yes,34,1,1,1,1,not acept,furnished,"R$2,890",R$37,"R$2,927"
no,50,2,1,1,3,acept,not furnished,"R$1,000",R$13,"R$1,646"
yes,100,2,2,1,-,not acept,not furnished,"R$1,750",R$27,"R$1,917"
yes,55,1,1,1,14,not acept,furnished,"R$4,950",R$63,"R$6,238"
yes,100,2,3,1,2,acept,furnished,"R$3,973",R$51,"R$5,551"
yes,110,3,2,2,2,acept,not furnished,"R$2,400",R$31,"R$3,823"
